DATE,WM2NS
1981-01-01,1617.7769230769230769
1981-04-01,1661.9538461538461538
1981-07-01,1694.7615384615384615
1981-10-01,1740.8615384615384615
1982-01-01,1772.9692307692307692
1982-04-01,1811.0923076923076923
1982-07-01,1845.6384615384615385
1982-10-01,1890.1538461538461538
1983-01-01,1983.1846153846153846
1983-04-01,2037.9307692307692308
1983-07-01,2073.3307692307692308
1983-10-01,2114.7384615384615385
1984-01-01,2152.1769230769230769
1984-04-01,2198.2307692307692308
1984-07-01,2231.5692307692307692
1984-10-01,2285.2000000000000000
1985-01-01,2346.7833333333333333
1985-04-01,2386.2384615384615385
1985-07-01,2441.5714285714285714
1985-10-01,2483.6538461538461538
1986-01-01,2514.0692307692307692
1986-04-01,2580.2923076923076923
1986-07-01,2646.1384615384615385
1986-10-01,2708.2384615384615385
1987-01-01,2746.5076923076923077
1987-04-01,2770.3615384615384615
1987-07-01,2788.6076923076923077
1987-10-01,2822.1153846153846154
1988-01-01,2866.1307692307692308
1988-04-01,2922.4230769230769231
1988-07-01,2951.1000000000000000
1988-10-01,2978.2384615384615385
1989-01-01,2994.4923076923076923
1989-04-01,3012.8000000000000000
1989-07-01,3068.1230769230769231
1989-10-01,3131.1153846153846154
1990-01-01,3177.0769230769230769
1990-04-01,3204.9461538461538462
1990-07-01,3235.6307692307692308
1990-10-01,3266.2500000000000000
1991-01-01,3302.3416666666666667
1991-04-01,3342.5846153846153846
1991-07-01,3350.6285714285714286
1991-10-01,3370.3153846153846154
1992-01-01,3392.4153846153846154
1992-04-01,3398.7461538461538462
1992-07-01,3396.9692307692307692
1992-10-01,3429.8461538461538462
1993-01-01,3412.9769230769230769
1993-04-01,3431.2384615384615385
1993-07-01,3442.4846153846153846
1993-10-01,3471.6769230769230769
1994-01-01,3473.5076923076923077
1994-04-01,3485.2538461538461538
1994-07-01,3484.1307692307692308
1994-10-01,3490.2000000000000000
1995-01-01,3488.5076923076923077
1995-04-01,3522.5384615384615385
1995-07-01,3581.5538461538461538
1995-10-01,3621.1923076923076923
1996-01-01,3662.2153846153846154
1996-04-01,3709.5923076923076923
1996-07-01,3737.9857142857142857
1996-10-01,3797.8615384615384615
1997-01-01,3849.8692307692307692
1997-04-01,3891.3230769230769231
1997-07-01,3943.9307692307692308
1997-10-01,4014.2076923076923077
1998-01-01,4090.5461538461538462
1998-04-01,4163.8153846153846154
1998-07-01,4221.6461538461538462
1998-10-01,4341.0769230769230769
1999-01-01,4426.8153846153846154
1999-04-01,4486.1769230769230769
1999-07-01,4536.2692307692307692
1999-10-01,4610.7076923076923077
2000-01-01,4691.6538461538461538
2000-04-01,4765.7769230769230769
2000-07-01,4802.0461538461538462
2000-10-01,4886.6461538461538462
2001-01-01,5020.7615384615384615
2001-04-01,5146.9307692307692308
2001-07-01,5240.9384615384615385
2001-10-01,5384.5214285714285714
2002-01-01,5477.2000000000000000
2002-04-01,5523.2000000000000000
2002-07-01,5610.0785714285714286
2002-10-01,5748.1000000000000000
2003-01-01,5832.3538461538461538
2003-04-01,5956.1538461538461538
2003-07-01,6063.8538461538461538
2003-10-01,6073.9076923076923077
2004-01-01,6103.4615384615384615
2004-04-01,6251.4307692307692308
2004-07-01,6303.5076923076923077
2004-10-01,6398.1384615384615385
2005-01-01,6424.2000000000000000
2005-04-01,6492.3461538461538462
2005-07-01,6555.1230769230769231
2005-10-01,6652.1615384615384615
2006-01-01,6739.3230769230769231
2006-04-01,6835.1076923076923077
2006-07-01,6892.2461538461538462
2006-10-01,7015.6923076923076923
2007-01-01,7132.4076923076923077
2007-04-01,7272.5000000000000000
2007-07-01,7330.4461538461538462
2007-10-01,7433.4714285714285714
2008-01-01,7602.6769230769230769
2008-04-01,7735.8153846153846154
2008-07-01,7765.8846153846153846
2008-10-01,8048.5076923076923077
2009-01-01,8340.3846153846153846
2009-04-01,8437.4461538461538462
2009-07-01,8397.1615384615384615
2009-10-01,8486.6076923076923077
2010-01-01,8515.1076923076923077
2010-04-01,8597.7153846153846154
2010-07-01,8609.4307692307692308
2010-10-01,8772.0153846153846154
2011-01-01,8908.4153846153846154
2011-04-01,9058.6153846153846154
2011-07-01,9397.6000000000000000
2011-10-01,9622.3692307692307692
2012-01-01,9810.5538461538461538
2012-04-01,9928.6846153846153846
2012-07-01,10065.9923076923076923
2012-10-01,10362.2285714285714286
2013-01-01,10527.2500000000000000
2013-04-01,10629.0615384615384615
2013-07-01,10736.378571428571
2013-10-01,11003.069230769231
2014-01-01,11178.784615384615
2014-04-01,11313.961538461538
2014-07-01,11425.661538461538
2014-10-01,11634.538461538462
2015-01-01,11850.930769230769
2015-04-01,11957.900000000000
2015-07-01,12071.761538461538
2015-10-01,12289.453846153846
2016-01-01,12552.138461538462
2016-04-01,12756.176923076923
2016-07-01,12929.161538461538
2016-10-01,13173.630769230769
2017-01-01,13352.623076923077
2017-04-01,13520.676923076923
2017-07-01,13638.376923076923
2017-10-01,13823.623076923077
2018-01-01,13907.646153846154
2018-04-01,14043.369230769231
2018-07-01,14151.469230769231
2018-10-01,14295.521428571429
2019-01-01,14456.116666666667
2019-04-01,14635.376923076923
2019-07-01,14889.750000000000
2019-10-01,15259.453846153846
2020-01-01,15601.369230769231
2020-04-01,17637.561538461538
2020-07-01,18359.438461538462
2020-10-01,18939.069230769231
2021-01-01,19576.692307692308
2021-04-01,20309.392307692308
2021-07-01,20731.269230769231
2021-10-01,21330.223076923077
2022-01-01,21686.207692307692
2022-04-01,21670.169230769231
2022-07-01,21543.600000000000
2022-10-01,21421.523076923077
