DATE,DEXJPUS
2019-04-01,109.9507812500000000
2019-07-01,107.3320312500000000
2019-10-01,108.6843548387096774
2020-01-01,108.9329032258064516
2020-04-01,107.5151562500000000
2020-07-01,106.1037500000000000
2020-10-01,104.4735000000000000
2021-01-01,106.1740000000000000
2021-04-01,109.4309375000000000
2021-07-01,110.0725000000000000
2021-10-01,113.6429508196721311
2022-01-01,116.3554838709677419
2022-04-01,129.7282539682539683
2022-07-01,138.3542187500000000
2022-10-01,141.3629508196721311
2023-01-01,132.4372580645161290
2023-04-01,137.3520634920634921
2023-07-01,144.5328571428571429
2023-10-01,147.7814754098360656
2024-01-01,148.5591935483870968
2024-04-01,.
